index_code,date,tri_close,price_close,div_yield_nominal_pct,div_yield_redrocket_did_pct,div_yield_redrocket_percentile_pct,div_yield_equal_pct,div_yield_ttm_pct,div_yield_ttm_equal_pct
930955,2017-09-15,13656.5300,10017.2900,2.9604,2.9604,4.8100,,,
930955,2017-09-18,13701.2400,10050.0800,3.0492,3.0492,7.1500,,,
930955,2017-09-19,13653.3300,10014.9400,3.0494,3.0494,7.2400,,,
930955,2017-09-20,13683.1000,10034.1800,3.0529,3.0529,7.3300,,,
930955,2017-09-21,13654.5800,10013.2600,3.1092,3.1092,8.4300,,,
930955,2017-09-22,13644.8400,10006.1200,3.0121,3.0121,6.0900,,,
930955,2017-09-25,13609.3700,9980.1100,2.9895,2.9895,5.6800,,,
930955,2017-09-26,13604.2400,9974.4600,2.9945,2.9945,5.8600,,,
930955,2017-09-27,13600.4200,9971.6600,2.9884,2.9884,5.6300,,,
930955,2017-09-28,13590.4900,9964.3800,2.9867,2.9867,5.5400,,,
930955,2017-09-29,13624.5700,9989.3600,2.9878,2.9878,5.5900,,,
930955,2017-10-09,13734.1000,10069.6700,2.9577,2.9577,4.6700,,,
930955,2017-10-10,13816.5900,10130.1500,2.9441,2.9441,4.5800,,,
930955,2017-10-11,13863.4300,10164.5000,2.9272,2.9272,4.3000,,,
930955,2017-10-12,13831.4400,10141.0400,2.9286,2.9286,4.3500,,,
930955,2017-10-13,13837.4300,10145.4300,2.9346,2.9346,4.4400,,,
930955,2017-10-16,13763.6600,10091.3400,2.9209,2.9209,4.1200,,,
930955,2017-10-17,13745.7200,10078.1900,2.9290,2.9290,4.4000,,,
930955,2017-10-18,13811.5600,10126.4700,2.8909,2.8909,3.3000,,,
930955,2017-10-19,13792.9400,10112.8100,2.8764,2.8764,2.8400,,,
930955,2017-10-20,13838.1600,10145.9700,2.8934,2.8934,3.3900,,,
930955,2017-10-23,13837.9000,10145.7800,2.9065,2.9065,3.8900,,,
930955,2017-10-24,13888.7900,10183.0900,2.8932,2.8932,3.3400,,,
930955,2017-10-25,13888.7400,10183.0500,2.9038,2.9038,3.8500,,,
930955,2017-10-26,13853.8100,10157.4400,2.9107,2.9107,3.9400,,,
930955,2017-10-27,13888.4400,10182.8300,2.8683,2.8683,2.3800,,,
930955,2017-10-30,13772.0700,10097.5100,2.8697,2.8697,2.5200,,,
930955,2017-10-31,13754.3400,10084.5100,2.8936,2.8936,3.4300,,,
930955,2017-11-01,13697.0900,10042.5300,2.8994,2.8994,3.6600,,,
930955,2017-11-02,13645.0400,10004.3700,2.8996,2.8996,3.7100,,,
930955,2017-11-03,13595.4800,9968.0400,2.8991,2.8991,3.6200,,,
930955,2017-11-06,13614.8400,9982.2300,2.9028,2.9028,3.7500,,,
930955,2017-11-07,13688.0600,10035.9100,2.8761,2.8761,2.7900,,,
930955,2017-11-08,13744.6800,10077.4300,2.8738,2.8738,2.6500,,,
930955,2017-11-09,13759.5300,10088.3200,2.8779,2.8779,2.8800,,,
930955,2017-11-10,13750.9200,10082.0000,2.8790,2.8790,2.9800,,,
930955,2017-11-13,13752.3300,10083.0300,2.8583,2.8583,2.2400,,,
930955,2017-11-14,13677.9800,10028.5200,2.8698,2.8698,2.5600,,,
930955,2017-11-15,13596.6700,9968.9100,2.8873,2.8873,3.2500,,,
930955,2017-11-16,13570.5300,9949.7400,2.8849,2.8849,3.1100,,,
930955,2017-11-17,13585.2000,9960.4900,2.8395,2.8395,1.9200,,,
930955,2017-11-20,13621.7000,9987.2600,2.8220,2.8220,1.8700,,,
930955,2017-11-21,13712.8300,10054.0700,2.8061,2.8061,1.6900,,,
930955,2017-11-22,13795.2500,10114.5100,2.7683,2.7683,1.4600,,,
930955,2017-11-23,13556.7500,9939.6400,2.8209,2.8209,1.8300,,,
930955,2017-11-24,13571.1000,9950.1600,2.8179,2.8179,1.7400,,,
930955,2017-11-27,13467.4200,9874.1400,2.8399,2.8399,1.9700,,,
930955,2017-11-28,13440.5500,9854.4400,2.8614,2.8614,2.2900,,,
930955,2017-11-29,13413.2600,9834.4300,2.8653,2.8653,2.3300,,,
930955,2017-11-30,13363.2400,9797.7600,2.8831,2.8831,3.0200,,,
930955,2017-12-01,13386.9500,9815.1400,2.8953,2.8953,3.5300,,,
930955,2017-12-04,13354.6200,9791.4400,2.8867,2.8867,3.2000,,,
930955,2017-12-05,13378.9700,9809.2900,2.8485,2.8485,2.1000,,,
930955,2017-12-06,13349.5500,9787.7200,2.8738,2.8738,2.6500,,,
930955,2017-12-07,13266.8600,9727.0900,2.8986,2.8986,3.5700,,,
930955,2017-12-08,13280.8200,9737.3300,2.8949,2.8949,3.4800,,,
930955,2017-12-11,13353.2700,9790.4500,3.0454,3.0454,6.9600,,,
930955,2017-12-12,13227.6500,9698.3500,3.0782,3.0782,7.9300,,,
930955,2017-12-13,13288.7200,9743.1200,3.0658,3.0658,7.6500,,,
930955,2017-12-14,13252.4300,9716.5200,3.0813,3.0813,8.0200,,,
930955,2017-12-15,13190.7400,9671.2800,3.1064,3.1064,8.3900,,,
930955,2017-12-18,13167.3200,9654.1100,3.1014,3.1014,8.2000,,,
930955,2017-12-19,13243.3000,9709.8200,3.0760,3.0760,7.8400,,,
930955,2017-12-20,13191.2500,9671.6600,3.0778,3.0778,7.8800,,,
930955,2017-12-21,13211.9000,9686.8000,3.0730,3.0730,7.7400,,,
930955,2017-12-22,13202.3400,9679.7900,3.0820,3.0820,8.1100,,,
930955,2017-12-25,13118.3000,9618.1700,3.0800,3.0800,7.9700,,,
930955,2017-12-26,13195.8400,9675.0300,3.0540,3.0540,7.3800,,,
930955,2017-12-27,13121.2200,9620.3100,3.0726,3.0726,7.7000,,,
930955,2017-12-28,13130.3500,9627.0100,3.0648,3.0648,7.5600,,,
930955,2017-12-29,13202.4100,9679.8400,3.0494,3.0494,7.2400,,,
930955,2018-01-02,13340.9100,9781.3900,3.0097,3.0097,6.0000,,,
930955,2018-01-03,13414.1900,9835.1100,2.9988,2.9988,5.9100,,,
930955,2018-01-04,13436.6500,9851.5900,2.9839,2.9839,5.5000,,,
930955,2018-01-05,13490.4900,9891.0600,2.9740,2.9740,5.2200,,,
930955,2018-01-08,13542.4400,9929.1400,2.9722,2.9722,5.1300,,,
930955,2018-01-09,13509.9400,9905.3200,2.9790,2.9790,5.3600,,,
930955,2018-01-10,13533.4600,9922.5600,2.9377,2.9377,4.4900,,,
930955,2018-01-11,13551.2700,9935.6200,2.9272,2.9272,4.3000,,,
930955,2018-01-12,13558.9100,9941.2200,2.9193,2.9193,3.9800,,,
930955,2018-01-15,13489.7700,9890.5300,2.8837,2.8837,3.0700,,,
930955,2018-01-16,13632.8600,9995.4400,2.8695,2.8695,2.4700,,,
930955,2018-01-17,13703.3400,10047.1200,2.8410,2.8410,2.0600,,,
930955,2018-01-18,13814.5300,10128.6400,2.7921,2.7921,1.6000,,,
930955,2018-01-19,13882.3600,10178.3700,2.7653,2.7653,1.3700,,,
930955,2018-01-22,13940.4200,10220.9400,2.7784,2.7784,1.5500,,,
930955,2018-01-23,14072.1300,10317.5100,2.7094,2.7094,1.0000,,,
930955,2018-01-24,14174.3200,10392.4300,2.6860,2.6860,0.7700,,,
930955,2018-01-25,14126.5300,10357.4000,2.7032,2.7032,0.8700,,,
930955,2018-01-26,14188.3000,10402.6800,2.6962,2.6962,0.8200,,,
930955,2018-01-29,14065.1600,10312.4000,2.7058,2.7058,0.9100,,,
930955,2018-01-30,13975.5100,10246.6600,2.7530,2.7530,1.2800,,,
930955,2018-01-31,13865.9100,10166.3100,2.7424,2.7424,1.2300,,,
930955,2018-02-01,13726.9100,10064.3900,2.7198,2.7198,1.1000,,,
930955,2018-02-02,13755.3700,10085.2600,2.7078,2.7078,0.9600,,,
930955,2018-02-05,13957.6700,10233.5900,2.6468,2.6468,0.6400,,,
930955,2018-02-06,13593.0600,9966.2600,2.7098,2.7098,1.0500,,,
930955,2018-02-07,13420.9600,9840.0800,2.7953,2.7953,1.6500,,,
930955,2018-02-08,13275.7500,9733.6100,2.8784,2.8784,2.9300,,,
930955,2018-02-09,12783.5800,9372.7600,2.9907,2.9907,5.7300,,,
930955,2018-02-12,12863.1400,9431.0900,3.0093,3.0093,5.9600,,,
