fund_code,index_code,date,nav_unit,nav_accum,daily_return_pct,div_yield_fund_ttm_pct,div_yield_index_did_pct
007751,931157,2024-07-02,1.1869,1.3789,0.2700,6.7571,4.3367
007751,931157,2024-07-03,1.1828,1.3748,-0.3500,6.7805,4.3387
007751,931157,2024-07-04,1.1765,1.3685,-0.5300,6.8168,4.3093
007751,931157,2024-07-05,1.1706,1.3626,-0.5000,6.8512,4.3860
007751,931157,2024-07-08,1.1396,1.3559,-0.5700,9.1699,4.2979
007751,931157,2024-07-09,1.1531,1.3694,1.1800,6.6256,4.2709
007751,931157,2024-07-10,1.1462,1.3625,-0.6000,6.6655,4.6296
007751,931157,2024-07-11,1.1549,1.3712,0.7600,6.6153,4.6105
007751,931157,2024-07-12,1.1624,1.3787,0.6500,6.5726,4.5682
007751,931157,2024-07-15,1.1627,1.3790,0.0300,6.5709,4.2790
007751,931157,2024-07-16,1.1564,1.3727,-0.5400,6.6067,4.3635
007751,931157,2024-07-17,1.1528,1.3691,-0.3100,6.6273,4.4023
007751,931157,2024-07-18,1.1595,1.3758,0.5800,6.5890,4.3047
007751,931157,2024-07-19,1.1534,1.3697,-0.5300,6.6239,4.5802
007751,931157,2024-07-22,1.1479,1.3642,-0.4800,6.6556,4.2575
007751,931157,2024-07-23,1.1417,1.3580,-0.5400,6.6918,4.2770
007751,931157,2024-07-24,1.1409,1.3572,-0.0700,6.6965,4.3882
007751,931157,2024-07-25,1.1341,1.3504,-0.6000,6.7366,4.4279
007751,931157,2024-07-26,1.1354,1.3517,0.1100,6.7289,4.4479
007751,931157,2024-07-29,1.1413,1.3576,0.5200,6.6941,4.3899
007751,931157,2024-07-30,1.1358,1.3521,-0.4800,6.7265,4.4337
007751,931157,2024-07-31,1.1476,1.3639,1.0400,6.6574,4.4345
007751,931157,2024-08-01,1.1503,1.3666,0.2400,6.6417,4.4181
007751,931157,2024-08-02,1.1458,1.3621,-0.3900,6.6678,4.4191
007751,931157,2024-08-05,1.1307,1.3470,-1.3200,6.7569,4.4876
007751,931157,2024-08-06,1.1288,1.3451,-0.1700,6.7682,4.5199
007751,931157,2024-08-07,1.1327,1.3490,0.3500,6.7449,4.4851
007751,931157,2024-08-08,1.1347,1.3510,0.1800,6.7331,4.4778
007751,931157,2024-08-09,1.1325,1.3488,-0.1900,6.7461,4.4947
007751,931157,2024-08-12,1.1305,1.3468,-0.1800,6.7581,4.3552
007751,931157,2024-08-13,1.1367,1.3530,0.5500,6.7212,4.3279
007751,931157,2024-08-14,1.1330,1.3493,-0.3300,6.7432,4.3794
007751,931157,2024-08-15,1.1414,1.3577,0.7400,6.6935,4.3369
007751,931157,2024-08-16,1.1434,1.3597,0.1800,6.6818,4.3771
007751,931157,2024-08-19,1.1568,1.3731,1.1700,6.6044,4.3381
007751,931157,2024-08-20,1.1511,1.3674,-0.4900,6.6371,4.3447
007751,931157,2024-08-21,1.1428,1.3591,-0.7200,6.6853,4.3635
007751,931157,2024-08-22,1.1458,1.3621,0.2600,6.6678,4.3311
007751,931157,2024-08-23,1.1459,1.3622,0.0100,6.6672,4.3235
007751,931157,2024-08-26,1.1458,1.3621,-0.0100,6.6678,4.2708
007751,931157,2024-08-27,1.1454,1.3617,-0.0300,6.6702,4.2729
007751,931157,2024-08-28,1.1384,1.3547,-0.6100,6.7112,4.4541
007751,931157,2024-08-29,1.1255,1.3418,-1.1300,6.7881,4.5098
007751,931157,2024-08-30,1.1243,1.3406,-0.1100,6.7953,4.4442
007751,931157,2024-09-02,1.1204,1.3367,-0.3500,6.8190,5.0057
007751,931157,2024-09-03,1.1157,1.3320,-0.4200,6.8477,5.1170
007751,931157,2024-09-04,1.1116,1.3279,-0.3700,6.8730,5.2321
007751,931157,2024-09-05,1.1129,1.3292,0.1200,6.8649,4.6446
007751,931157,2024-09-06,1.1075,1.3238,-0.4900,6.8984,4.6645
007751,931157,2024-09-09,1.0932,1.3095,-1.2900,6.9887,4.7266
007751,931157,2024-09-10,1.0935,1.3098,0.0300,6.9867,4.7282
007751,931157,2024-09-11,1.0792,1.2955,-1.3100,7.0793,4.8256
007751,931157,2024-09-12,1.0807,1.2970,0.1400,7.0695,4.9065
007751,931157,2024-09-13,1.0792,1.2955,-0.1400,7.0793,4.8897
007751,931157,2024-09-18,1.0884,1.3047,0.8500,7.0195,4.7786
007751,931157,2024-09-19,1.0959,1.3122,0.6900,6.9714,4.7552
007751,931157,2024-09-20,1.0962,1.3125,0.0300,6.9695,4.7474
007751,931157,2024-09-23,1.1054,1.3217,0.8400,6.9115,4.7065
007751,931157,2024-09-24,1.1375,1.3538,2.9000,6.7165,4.5738
007751,931157,2024-09-25,1.1520,1.3683,1.2700,6.6319,4.5190
007751,931157,2024-09-26,1.1831,1.3994,2.7000,6.4576,4.4232
007751,931157,2024-09-27,1.1961,1.4124,1.1000,6.3874,4.3712
007751,931157,2024-09-30,1.2559,1.4722,5.0000,6.0833,4.1840
007751,931157,2024-10-08,1.2845,1.5008,2.2800,5.9478,4.1061
007751,931157,2024-10-09,1.2147,1.4310,-5.4300,6.2896,4.3269
007751,931157,2024-10-10,1.2421,1.4584,2.2600,6.1509,4.2392
007751,931157,2024-10-11,1.2236,1.4399,-1.4900,4.1108,4.3092
007751,931157,2024-10-14,1.2486,1.4649,2.0400,4.0285,4.2377
007751,931157,2024-10-15,1.2232,1.4395,-2.0300,4.1122,4.3385
007751,931157,2024-10-16,1.2360,1.4523,1.0500,4.0696,4.3211
007751,931157,2024-10-17,1.1963,1.4356,-1.3500,6.1272,4.3812
007751,931157,2024-10-18,1.2125,1.4518,1.3500,6.0454,4.3112
007751,931157,2024-10-21,1.2065,1.4458,-0.4900,6.0754,4.3402
007751,931157,2024-10-22,1.2148,1.4541,0.6900,6.0339,4.3094
007751,931157,2024-10-23,1.2187,1.4580,0.3200,6.0146,4.2999
007751,931157,2024-10-24,1.2128,1.4521,-0.4800,6.0439,4.3265
007751,931157,2024-10-25,1.2115,1.4508,-0.1100,6.0504,4.3617
007751,931157,2024-10-28,1.2168,1.4561,0.4400,6.0240,4.3647
007751,931157,2024-10-29,1.2068,1.4461,-0.8200,6.0739,4.3944
007751,931157,2024-10-30,1.1975,1.4368,-0.7700,6.1211,4.4368
007751,931157,2024-10-31,1.1993,1.4386,0.1500,6.1119,4.4513
007751,931157,2024-11-01,1.2045,1.4438,0.4300,6.0855,4.4572
007751,931157,2024-11-04,1.2153,1.4546,0.9000,6.0314,4.4335
007751,931157,2024-11-05,1.2279,1.4672,1.0400,5.9695,4.3955
007751,931157,2024-11-06,1.2208,1.4601,-0.5800,6.0043,4.4647
007751,931157,2024-11-07,1.2452,1.4845,2.0000,5.8866,4.3744
007751,931157,2024-11-08,1.2318,1.4711,-1.0800,5.9506,4.4173
007751,931157,2024-11-11,1.2241,1.4634,-0.6300,5.9881,4.4546
007751,931157,2024-11-12,1.2162,1.4555,-0.6500,6.0270,4.5069
007751,931157,2024-11-13,1.2226,1.4619,0.5300,5.9954,4.4648
007751,931157,2024-11-14,1.2111,1.4504,-0.9400,6.0523,4.4944
007751,931157,2024-11-15,1.2076,1.4469,-0.2900,6.0699,4.5025
007751,931157,2024-11-18,1.2206,1.4599,1.0800,6.0052,4.4785
007751,931157,2024-11-19,1.2262,1.4655,0.4600,5.9778,4.4811
007751,931157,2024-11-20,1.2264,1.4657,0.0200,5.9768,4.4743
007751,931157,2024-11-21,1.2262,1.4655,-0.0200,5.9778,4.4828
007751,931157,2024-11-22,1.1986,1.4379,-2.2500,6.1155,4.5788
007751,931157,2024-11-25,1.1987,1.4380,0.0100,6.1150,4.6047
007751,931157,2024-11-26,1.1987,1.4380,0.0000,6.1150,4.5945
007751,931157,2024-11-27,1.2110,1.4503,1.0300,6.0528,4.5350
007751,931157,2024-11-28,1.2053,1.4446,-0.4700,6.0815,4.6103
007751,931157,2024-11-29,1.2124,1.4517,0.5900,6.0459,4.5934
007751,931157,2024-12-02,1.2170,1.4563,0.3800,6.0230,4.5848
007751,931157,2024-12-03,1.2277,1.4670,0.8800,5.9705,4.5400
007751,931157,2024-12-04,1.2241,1.4634,-0.2900,5.9881,4.5323
007751,931157,2024-12-05,1.2229,1.4622,-0.1000,5.9939,4.5504
007751,931157,2024-12-06,1.2352,1.4745,1.0100,5.9343,4.5133
007751,931157,2024-12-09,1.2404,1.4797,0.4200,5.9094,4.4665
007751,931157,2024-12-10,1.2405,1.4798,0.0100,5.9089,4.4577
007751,931157,2024-12-11,1.2430,1.4823,0.2000,5.8970,4.4861
007751,931157,2024-12-12,1.2545,1.4938,0.9300,5.8430,4.4513
007751,931157,2024-12-13,1.2334,1.4727,-1.6800,5.9429,4.5204
007751,931157,2024-12-16,1.2389,1.4782,0.4500,5.9165,4.8682
007751,931157,2024-12-17,1.2329,1.4722,-0.4800,5.9453,4.8755
007751,931157,2024-12-18,1.2409,1.4802,0.6500,5.9070,4.8537
007751,931157,2024-12-19,1.2348,1.4741,-0.4900,5.9362,4.8849
007751,931157,2024-12-20,1.2312,1.4705,-0.2900,5.9535,4.9443
007751,931157,2024-12-23,1.2406,1.4799,0.7600,5.9084,4.8695
007751,931157,2024-12-24,1.2554,1.4947,1.1900,5.8388,4.8089
007751,931157,2024-12-25,1.2609,1.5002,0.4400,5.8133,4.7695
007751,931157,2024-12-26,1.2580,1.4973,-0.2300,5.8267,4.7774
007751,931157,2024-12-27,1.2656,1.5049,0.6000,5.7917,4.7795
007751,931157,2024-12-30,1.2724,1.5117,0.5400,5.7608,4.7548
007751,931157,2024-12-31,1.2642,1.5035,-0.6400,5.7981,4.7768
007751,931157,2025-01-02,1.2350,1.4743,-2.3100,5.9352,5.5275
007751,931157,2025-01-03,1.2261,1.4654,-0.7200,4.9996,5.5476
007751,931157,2025-01-06,1.2308,1.4701,0.3800,4.9805,5.5442
007751,931157,2025-01-07,1.2014,1.4684,-0.1400,7.4080,5.5472
007751,931157,2025-01-08,1.2048,1.4718,0.2800,7.3871,5.6295
007751,931157,2025-01-09,1.1944,1.4614,-0.8600,7.4514,5.6964
007751,931157,2025-01-10,1.1832,1.4502,-0.9400,7.5220,5.7969
007751,931157,2025-01-13,1.1747,1.4417,-0.7200,7.5764,5.9266
007751,931157,2025-01-14,1.1922,1.4592,1.4900,7.4652,5.8561
007751,931157,2025-01-15,1.1947,1.4617,0.2100,7.4496,5.8587
007751,931157,2025-01-16,1.2042,1.4712,0.8000,7.3908,5.8721
007751,931157,2025-01-17,1.2036,1.4706,-0.0500,7.3945,5.9037
007751,931157,2025-01-20,1.2046,1.4716,0.0800,7.3883,5.9493
007751,931157,2025-01-21,1.2037,1.4707,-0.0700,7.3939,5.9670
007751,931157,2025-01-22,1.1933,1.4603,-0.8600,7.4583,6.0450
007751,931157,2025-01-23,1.2061,1.4731,1.0700,7.3792,6.0822
007751,931157,2025-01-24,1.2116,1.4786,0.4600,7.3457,6.0546
007751,931157,2025-01-27,1.2248,1.4918,1.0900,7.2665,5.9830
007751,931157,2025-02-05,1.2097,1.4767,-1.2300,7.3572,6.0704
007751,931157,2025-02-06,1.2133,1.4803,0.3000,7.3354,6.0450
007751,931157,2025-02-07,1.2154,1.4824,0.1700,7.3227,6.0284
007751,931157,2025-02-10,1.2148,1.4818,-0.0500,7.3263,6.0000
007751,931157,2025-02-11,1.2207,1.4877,0.4900,7.2909,5.9721
007751,931157,2025-02-12,1.2265,1.4935,0.4800,7.2564,5.9399
007751,931157,2025-02-13,1.2234,1.4904,-0.2500,7.2748,5.9409
007751,931157,2025-02-14,1.2264,1.4934,0.2500,7.2570,5.9152
007751,931157,2025-02-17,1.2279,1.4949,0.1200,7.2481,5.8975
007751,931157,2025-02-18,1.2306,1.4976,0.2200,7.2322,5.8950
007751,931157,2025-02-19,1.2277,1.4947,-0.2400,7.2493,5.9171
007751,931157,2025-02-20,1.2235,1.4905,-0.3400,7.2742,5.9189
007751,931157,2025-02-21,1.2233,1.4903,-0.0200,7.2754,5.8938
007751,931157,2025-02-24,1.2227,1.4897,-0.0500,7.2790,5.9184
007751,931157,2025-02-25,1.2084,1.4754,-1.1700,7.3651,6.0005
007751,931157,2025-02-26,1.2205,1.4875,1.0000,7.2921,5.9580
